"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,123811181,31,500,,137309419
2019,123811215,20,240000,,137309451
2019,123811237,63,1500,,137309469
2019,123811246,63,9000,,137329749
2019,123811255,63,1,,137309488
2019,123811288,62,1,,137309526
2019,123811299,10,,,137309536
2019,123811330,8,3,,137309564
2019,123811333,11,1,,137329818
2019,123811333,10,,,137329817
2019,123811354,20,220,,137332594
2019,123811367,63,230,,137309600
2019,123834838,63,1,,137332626
2019,124242836,63,350,,137884269
2019,124237352,25,1,,137884225
2019,124242804,25,1,02-AUG-19,137881918
2019,124237352,20,4000,,137884224
2019,124237370,63,350,05-APR-19,137881939
2019,124242862,10,,,137881956
2019,124242870,19,1,,137881958
2019,124242880,36,6600,,137884321
2019,124242880,38,340,,137884322
2019,124245598,19,36,03-JUL-19,137866652
2019,124242889,19,36,,137884333
2019,124237397,16,500,,137884352
2019,124237397,26,200,,137881974
2019,124245620,20,4,,137884394
2019,124245644,29,1,,137884453
2019,124245651,10,,,137866709
2019,124243001,63,1,,137882042
2019,124243033,10,,,137884527
2019,124243033,11,2,,137884528
2019,124237499,11,1,,137882071
2019,124237499,10,,,137884564
2019,124245696,38,300,,137866744
2019,124243108,38,1,,137866757
2019,124245717,20,40,,137882130
2019,124243152,16,2,,137884667
2019,124243152,63,885,,137866781
2019,124243171,10,,,137882149
2019,124245744,16,2150,,137884725
2019,124245744,36,200,,137884726
2019,124243227,63,0,,137882187
2019,124237601,63,1,,137882201
2019,124243268,63,1,,137882205
2019,124245772,3,1,,137866839
2019,124245785,11,2,,137882246
2019,124245785,10,,,137884857
2019,124243330,63,1,07-SEP-19,137882252
2019,124243332,63,1,,137884865
2019,124245801,29,1,,137882284
2019,124245804,16,100,,137884920
2019,124237674,10,,,137884934
2019,124237681,11,1,,137884952
2019,124237681,10,,,137884951
2019,124243427,8,1,03-OCT-19,137884979
2019,124243426,35,1,,137884978
2019,124243429,8,1,,137884981
2019,124237698,63,3,,137882330
2019,124237696,63,3,03-NOV-19,137882329
2019,124237705,36,200,,137887339
2019,124243457,29,150,,137866903
2019,124237729,20,845,,137885049
2019,124246069,10,,,137885558
2019,124246079,16,8,,137867183
2019,124246090,10,,,137887761
2019,124246121,3,10000,05-NOV-19,137867230
2019,124238143,10,,,137867260
2019,124246149,17,1700,,137867270
2019,124246148,17,1700,20-NOV-19,137867269
2019,124246149,20,1700,,137867271
2019,124246157,8,46,06-SEP-19,137867279
2019,124246158,19,25,,137867282
2019,124246158,8,46,,137867281
2019,124246157,19,25,06-SEP-19,137867280
2019,124246166,63,1,,137867293
2019,124246171,29,800,,137885745
2019,124244124,36,1,,137887927
2019,124244124,26,1500,,137887926
2019,124244124,63,400,,137887928
2019,124238201,7,600,30-OCT-19,137887924
2019,124244124,7,600,,137887925
2019,124246192,20,2,,137887940
2019,124246202,10,,,137885787
2019,124238251,38,960,,137887984
2019,124238257,25,15,,137887991
2019,124238257,63,48,,137887993
2019,124246228,10,,,137892349
2019,124238266,10,1,,137885843
2019,124246244,63,1,,137892366
2019,124246249,10,,,137892372
2019,124238294,63,1,,137885890
2019,124238308,20,500,,137888060
2019,124238306,20,500,08-MAY-19,137888058
2019,124238332,63,600,,137885928
2019,124244272,63,1,05-OCT-19,137892407
2019,124244276,10,,,137888089
2019,124246297,3,1,,137888112
2019,124238365,19,77,06-JAN-19,137888127
2019,124238366,19,77,,137888128
2019,124244318,63,150,,137888133
2019,124244387,19,30,,137886052
2019,124246360,19,30,12-JUL-19,137888194
2019,124238463,63,1,,137888234
2019,124246421,63,100,,137892572
2019,124246425,63,450,,137892576
2019,124246428,27,50,,137888292
2019,124238522,63,600,,137888294
2019,124246428,63,50,,137892581
2019,124238522,36,535,,137888293
2019,124244483,10,,,137886160
2019,124244493,63,500,,137892600
2019,124238553,63,80,25-MAR-19,137888319
2019,124244494,10,,,137892601
2019,124246443,63,80,,137886175
2019,124246443,19,10,,137886174
2019,124238572,19,3,,137888336
2019,124238582,10,,,137888342
2019,124246474,16,20,,137892645
2019,124246474,3,30000,,137892644
2019,124246478,3,1500,,137888376
2019,124246478,29,500,,137888377
2019,124249580,10,,,137892674
2019,124249580,11,4,,137892675
2019,124249602,19,11,,137886301
2019,124246522,3,100,,137892693
2019,124249608,11,1,,137886307
2019,124245846,38,100,,137866930
2019,124237784,19,500,,137866963
2019,124243576,19,200,17-MAR-19,137885149
2019,124243576,63,15,17-MAR-19,137885151
2019,124237784,63,15,,137885155
2019,124237784,7,2500,,137866961
2019,124237817,11,1,,137887456
2019,124237817,10,,,137887455
2019,124237831,10,,,137887470
2019,124237843,63,0,,137887479
2019,124245912,16,200,,137887496
2019,124245912,63,300,,137887499
2019,124243728,10,,,137885314
2019,124245943,20,500,,137867049
2019,124245942,7,100,,137885333
2019,124245962,63,910,,137887557
2019,124243767,25,1,,137887567
2019,124243767,20,1100,,137885364
2019,124243767,63,40,,137885365
2019,124245988,29,1,,137867085
2019,124245990,67,1,,137887591
2019,124237943,10,,,137867092
2019,124245996,3,1000,,137887615
2019,124246030,38,1,,137867132
2019,124243882,20,200,,137885498
2019,124243889,11,1,,137885506
2019,124243889,10,,,137885505
2019,124243898,9,0,,137887703
2019,124243898,20,500,,137887704
2019,124243898,63,1,,137885518
2019,124243898,25,1,,137885517
2019,124243976,3,1,,137885603
2019,124238129,4,100,13-SEP-19,137867245
2019,124244037,4,100,,137885655
2019,124244041,11,1,,137885662
2019,124244041,10,,,137885661
2019,124246140,63,1,10-MAR-19,137867258
2019,124244060,63,1,,137887853
2019,124246176,10,,,137887909
2019,124246176,11,1,,137887910
2019,124246184,20,147,,137867306
2019,124246203,20,200,,137867324
2019,124244145,10,,,137867328
2019,124244145,11,1,,137867329
2019,124246211,10,,,137867331
2019,124238243,38,50,,137867334
2019,124238244,38,300,,137885815
2019,124246226,10,,,137892348
2019,124246248,20,329,,137885878
2019,124246248,63,1,,137892374
2019,124244227,63,7,,137888032
2019,124246255,63,7,19-APR-19,137888031
2019,124244235,3,1,,137885891
2019,124246268,10,,,137888064
2019,124244250,11,1,,137885905
2019,124244250,10,,,137892389
2019,124244277,36,858,,137892412
2019,124246286,36,699,28-MAR-19,137892411
2019,124244285,10,,,137888098
2019,124244308,10,,,137892441
2019,124244328,10,,,137885984
2019,124238419,20,1313,,137886051
2019,124244415,11,3,,137886086
2019,124244415,10,,,137886084
2019,124238464,7,620,,137892522
2019,124238535,20,1,,137888306
2019,124246450,63,1,,137892617
2019,124246517,11,1,,137892690
2019,124246521,34,150,,137888441
2019,124246533,13,1,,137892701
2019,124246548,10,,,137888485
2019,124246554,10,,,137888499
2019,124246562,8,100,,137892735
2019,124246580,26,500,,137892760
2019,124246580,16,300,,137892758
2019,124246586,63,19,,137892769
2019,124238742,11,1,,137888552
2019,124238768,3,23000,10-SEP-19,137892810
2019,124246622,3,23000,,137892814
2019,124249789,63,0,,137886506
2019,124249788,3,1,,137888604
2019,124249858,63,1,,137886586
2019,124246693,3,1,,137886606
2019,124249875,3,1,10-AUG-19,137892900
2019,124238899,35,1,,137888745
2019,124238923,11,5,,137886669
2019,124238923,10,,,137892971
2019,124238946,19,24,,137886704
2019,124238975,63,360,,137888832
2019,124249989,10,,,137888837
2019,124246796,13,360,,137886746
2019,124246807,63,700,,137893036
2019,124246807,15,20,,137893034
2019,124246805,15,1,,137886762
2019,124246807,38,5000,,137886763
2019,124246808,11,1,,137893037
2019,124246812,10,,,137893042
2019,124250023,38,1,,137888873
2019,124250029,36,50,,137893065
2019,124250029,38,1,,137893066
2019,124239019,8,15,,137888876
2019,124250034,8,15,16-MAR-19,137886803
2019,124239048,19,41,10-AUG-19,137886850
2019,124246852,19,41,,137888910
2019,124239063,10,,,137888924
2019,124250095,20,562,,137886870
2019,124250095,16,40,,137886869
2019,124250095,38,490,,137886872
2019,124250095,6,700,,137886866
2019,124250095,11,1000,,137886868
2019,124250095,63,2330,,137886873
2019,124250095,25,700,,137886871
2019,124239084,63,120,,137888951
2019,124239083,63,120,10-SEP-19,137888950
2019,124239124,26,1700,,137886936
2019,124239124,20,80,,137886934
2019,124239140,63,50,,137889016
