"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2019,4,147382382
2019,4,147377722
2019,4,147382385
2019,4,147382384
2019,4,147382383
2019,4,147382387
2019,4,147374121
2019,4,147374125
2019,4,147374129
2019,4,147374131
2019,4,147374130
2019,4,147382399
2019,4,147382403
2019,4,147382402
2019,4,147382407
2019,4,147374133
2019,4,147374134
2019,4,147374136
2019,4,147374137
2019,4,147382427
2019,4,147374147
2019,4,147374158
2019,4,147374160
2019,4,147374162
2019,4,147374161
2019,4,147377761
2019,4,147382444
2019,4,147374169
2019,4,147377764
2019,4,147374176
2019,4,147382451
2019,4,147382453
2019,4,147374180
2019,4,147374179
2019,4,147382452
2019,4,147374184
2019,4,147377777
2019,4,147374186
2019,4,147382472
2019,4,147382475
2019,4,147374191
2019,4,147374192
2019,4,147374196
2019,4,147377780
2019,4,147377781
2019,4,147374200
2019,4,147382483
2019,4,147374203
2019,4,147374205
2019,4,147382491
2019,4,147382497
2019,4,147382501
2019,4,147374216
2019,4,147382507
2019,4,147377799
2019,4,147382510
2019,4,147382518
2019,4,147374228
2019,4,147382523
2019,4,147382522
2019,4,147374231
2019,4,147374232
2019,4,147374237
2019,4,147374233
2019,4,147377817
2019,4,147374239
2019,4,147374234
2019,4,147374245
2019,4,147377818
2019,4,147377810
2019,4,147377811
2019,4,147374253
2019,4,147374252
2019,4,147377822
2019,4,147382556
2019,4,147374259
2019,4,147374257
2019,4,147374258
2019,4,147374261
2019,4,147382560
2019,4,147382561
2019,4,147377834
2019,4,147377839
2019,4,147374265
2019,4,147374272
2019,4,147374271
2019,4,147377842
2019,4,147374275
2019,4,147374277
2019,4,147374278
2019,4,147382575
2019,4,147382576
2019,4,147374279
2019,4,147382583
2019,4,147374282
2019,4,147382589
2019,4,147374290
2019,4,147374288
2019,4,147374287
2019,4,147374289
2019,4,147382591
2019,4,147377858
2019,4,147374294
2019,4,147374300
2019,4,147377862
2019,4,147374298
2019,4,147374299
2019,4,147374304
2019,4,147382599
2019,4,147374311
2019,4,147377875
2019,4,147382613
2019,4,147382615
2019,4,147374312
2019,4,147374314
2019,4,147377881
2019,4,147374319
2019,4,147382627
2019,4,147374325
2019,4,147374326
2019,4,147374327
2019,4,147377884
2019,4,147377886
2019,4,147374332
2019,4,147374337
2019,4,147377889
2019,4,147377890
2019,4,147382647
2019,4,147382648
2019,4,147382649
2019,4,147377894
2019,4,147382655
2019,4,147374361
2019,4,147377898
2019,4,147374350
2019,4,147382650
2019,4,147377892
2019,4,147382661
2019,4,147377905
2019,4,147382674
2019,4,147377911
2019,4,147377912
2019,4,147374381
2019,4,147374383
2019,4,147374384
2019,4,147377914
2019,4,147377917
2019,4,147379925
2019,4,147379924
2019,4,147386978
2019,4,147385601
2019,4,147379935
2019,4,147386980
2019,4,147386982
2019,4,147379936
2019,4,147386989
2019,4,147379941
2019,4,147386992
2019,4,147386996
2019,4,147386995
2019,4,147379929
2019,4,147385613
2019,4,147386999
2019,4,147385619
2019,4,147379950
2019,4,147385631
2019,4,147379958
2019,4,147385634
2019,4,147379963
2019,4,147385645
2019,4,147385643
2019,4,147385652
2019,4,147387012
2019,4,147387022
2019,4,147387020
2019,4,147387021
2019,4,147387023
2019,4,147379979
2019,4,147379984
2019,4,147387033
2019,4,147387032
2019,4,147385665
2019,4,147379992
2019,4,147379996
2019,4,147385676
2019,4,147385677
2019,4,147385675
2019,4,147387052
2019,4,147387054
2019,4,147385686
2019,4,147380001
2019,4,147385695
2019,4,147387060
2019,4,147385698
2019,4,147387064
2019,4,147385718
2019,4,147385717
2019,4,147387067
2019,4,147387066
2019,4,147387065
2019,4,147387068
2019,4,147380020
2019,4,147387074
2019,4,147385729
2019,4,147387075
2019,4,147387080
2019,4,147387079
2019,4,147385732
2019,4,147387077
2019,4,147387083
2019,4,147380034
2019,4,147387087
2019,4,147385754
2019,4,147387092
2019,4,147380046
2019,4,147380045
2019,4,147380044
2019,4,147387095
2019,4,147387106
2019,4,147387105
2019,4,147387107
2019,4,147387108
2019,4,147385765
2019,4,147385770
2019,4,147385775
2019,4,147385787
2019,4,147387115
2019,4,147387114
2019,4,147387113
2019,4,147387120
2019,4,147387121
2019,4,147387125
2019,4,147387124
2019,4,147385806
2019,4,147387129
2019,4,147380068
2019,4,147380070
2019,4,147387132
2019,4,147385820
2019,4,147385816
2019,4,147387137
2019,4,147385819
2019,4,147387150
2019,4,147385834
2019,4,147387147
2019,4,147387145
2019,4,147387144
2019,4,147380080
2019,4,147387156
2019,4,147387157
2019,4,147387154
2019,4,147387162
2019,4,147387160
2019,4,147387161
2019,4,147387165
2019,4,147387169
2019,4,147387166
2019,4,147380099
2019,4,147387176
2019,4,147385869
2019,4,147387172
2019,4,147385870
2019,4,147387177
2019,4,147387178
2019,4,147387179
2019,4,147387187
2019,4,147387182
2019,4,147387184
2019,4,147387183
2019,4,147387188
2019,4,147387189
2019,4,147387190
2019,4,147387191
2019,4,147387195
2019,4,147387194
2019,4,147385890
2019,4,147387200
