"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2019,133535152,138381550,16,42297714
2019,133536421,138382542,1,42294408
2019,133536421,138382543,18,42298280
2019,133541349,138385758,11,42289302
2019,133536427,138385761,3,42298284
2019,133541361,138382555,16,42298290
2019,133536441,138378585,1,42294415
2019,133531245,138385791,16,42294417
2019,133536445,138385791,25,42298295
2019,133536445,138382559,3,42298294
2019,133531241,138385791,3,42289310
2019,133531245,138382559,3,42294416
2019,133531241,138382559,25,42289309
2019,133531245,138385792,25,42294418
2019,133536445,138385792,16,42298296
2019,133531241,138385792,3,42289311
2019,133531257,138382566,6,42289315
2019,133531269,138382577,21,42289320
2019,133541385,138382578,6,42298302
2019,133531283,138385832,21,42294432
2019,133536474,138385832,1,42294431
2019,133531285,138385834,1,42298308
2019,133541391,138378633,1,42298305
2019,133541391,138385834,25,42298306
2019,133531285,138378633,25,42298307
2019,133541392,138378636,18,42294434
2019,133536493,138385854,15,42294447
2019,133531296,138378652,18,42289324
2019,133531303,138382608,18,42289328
2019,133541427,138378664,21,42298327
2019,133536509,138385871,21,42298326
2019,133536509,138385872,18,42294455
2019,133536510,138385871,18,42289329
2019,133536510,138385872,21,42289330
2019,133536507,138382610,15,42298325
2019,133541447,138382623,20,42289333
2019,133536540,138378686,10,42289335
2019,133541458,138382633,17,42298342
2019,133536551,138385932,3,42298346
2019,133541466,138378691,26,42294478
2019,133531340,138378705,18,42298361
2019,133536563,138378697,18,42298356
2019,133531344,138385937,18,42289351
2019,133531339,138385939,18,42298354
2019,133531344,138385935,18,42289350
2019,133531346,138385938,18,42298365
2019,133531353,138385935,18,42294500
2019,133531353,138378698,18,42294505
2019,133531350,138385937,18,42294499
2019,133531339,138378698,18,42289344
2019,133531353,138378697,18,42294504
2019,133531350,138385940,18,42289356
2019,133531346,138385940,16,42294497
2019,133531353,138385940,18,42289358
2019,133531353,138385937,16,42298369
2019,133531344,138378698,18,42298363
2019,133531346,138385939,18,42289353
2019,133531339,138378697,18,42294485
2019,133531344,138385939,18,42294492
2019,133531339,138385937,16,42294483
2019,133531344,138385940,18,42298362
2019,133536563,138385940,18,42298357
2019,133531353,138385938,18,42294502
2019,133536563,138385939,18,42298355
2019,133531339,138385935,18,42294482
2019,133536566,138385939,16,42298360
2019,133531346,138378697,18,42294496
2019,133536566,138385935,18,42294487
2019,133531339,138385938,18,42294484
2019,133536563,138385938,16,42289348
2019,133536566,138385938,18,42289349
2019,133531346,138385935,18,42294495
2019,133535193,138377265,18,42297729
2019,133540084,138377328,20,42288906
2019,133540097,138374430,18,42293929
2019,133540095,138377337,3,42297750
2019,133540095,138377338,25,42297751
2019,133540096,138377337,25,42293928
2019,133540096,138377338,3,42293930
2019,133540103,138381613,9,42297752
2019,133540104,138377345,18,42293931
2019,133535258,138377357,3,42297758
2019,133535289,138374472,1,42293948
2019,133530360,138374466,5,42297778
2019,133530360,138374465,25,42297777
2019,133540148,138374475,1,42288923
2019,133540148,138374476,18,42293951
2019,133530366,138374475,18,42288922
2019,133530366,138374476,1,42293949
2019,133540151,138374483,3,42293952
2019,133535306,138374496,3,42293953
2019,133531346,138378698,18,42298366
2019,133531350,138385938,18,42298367
2019,133536566,138378698,18,42294490
2019,133531353,138385939,18,42294503
2019,133531344,138385938,16,42294491
2019,133531350,138385935,18,42294498
2019,133531344,138378697,18,42294493
2019,133531350,138378698,18,42289357
2019,133536563,138378698,18,42298358
2019,133536563,138385937,18,42289347
2019,133531339,138385940,18,42294486
2019,133536563,138385935,16,42289346
2019,133531350,138385939,18,42298368
2019,133531346,138385937,18,42298364
2019,133531350,138378697,16,42289355
2019,133536566,138385940,18,42294489
2019,133536566,138385937,16,42298359
2019,133536566,138378697,18,42294488
2019,133541488,138382660,5,42298370
