"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2019,133535057,147382597
2019,133530215,147374315
2019,133530215,147374316
2019,133530230,147377888
2019,133535103,147377891
2019,133535124,147374371
2019,133539980,147382691
2019,133535154,147374402
2019,133535153,147374401
2019,133530275,147374401
2019,133535162,147382720
2019,133540026,147374433
2019,133535190,147374443
2019,133540042,147377954
2019,133530303,147382771
2019,133540064,147382792
2019,133540083,147382811
2019,133535246,147377988
2019,133535250,147374510
2019,133535275,147378014
2019,133535314,147382909
2019,133535336,147382927
2019,133540255,147374640
2019,133540255,147374639
2019,133535400,147378118
2019,133530472,147378146
2019,133530472,147374700
2019,133540336,147378164
2019,133535480,147374741
2019,133530540,147374805
2019,133530553,147378237
2019,133530553,147378236
2019,133540444,147383173
2019,133540480,147378269
2019,133540503,147374887
2019,133535618,147374895
2019,133535652,147378319
2019,133535652,147383291
2019,133530651,147378336
2019,133535700,147383350
2019,133540619,147383373
2019,133540619,147383372
2019,133540620,147383373
2019,133540620,147383372
2019,133540663,147375026
2019,133540671,147383426
2019,133540686,147375044
2019,133540700,147383454
2019,133540699,147383453
2019,133535776,147375069
2019,133540712,147378404
2019,133540750,147383501
2019,133540797,147378482
2019,133540808,147375161
2019,133535880,147375189
2019,133540874,147383627
2019,133530858,147375263
2019,133535963,147378566
2019,133535963,147375291
2019,133530894,147375326
2019,133530903,147378592
2019,133530928,147378621
2019,124422873,137911143
2019,124422880,137916148
2019,124427883,137916159
2019,133540019,147382735
2019,133540027,147382742
2019,133535185,147382752
2019,133535191,147382762
2019,133530320,147374478
2019,133530320,147374483
2019,133540082,147374500
2019,133540097,147374512
2019,133540103,147374514
2019,133535263,147378007
2019,133530373,147378026
2019,133530373,147378025
2019,133540152,147378026
2019,133540152,147378025
2019,133535306,147378034
2019,133530399,147378053
2019,133540199,147374600
2019,133540198,147374601
2019,133540209,147382934
2019,133540219,147374613
2019,133540228,147374613
2019,133540220,147374613
2019,133535354,147374613
2019,133535359,147374613
2019,133540224,147374613
2019,133535360,147374613
2019,133540225,147374613
2019,133540244,147382972
2019,133535384,147378094
2019,133535385,147382988
2019,133535384,147382988
2019,133535385,147378094
2019,133535415,147378123
2019,133540328,147383056
2019,133530488,147374728
2019,133530503,147383076
2019,133540373,147383100
2019,133535523,147383130
2019,133540419,147383143
2019,133530559,147383168
2019,133535572,147374843
2019,133540463,147374848
2019,133535573,147374848
2019,133535583,147374857
2019,133530599,147378282
2019,133530599,147378281
2019,133535621,147383261
2019,133540542,147383271
2019,133535658,147374938
2019,133540569,147374943
2019,133535665,147374943
2019,133540570,147383314
2019,133540570,147383315
2019,133540574,147374958
2019,133540578,147378327
2019,133535689,147374968
2019,133535690,147378334
2019,133535696,147374975
2019,133535738,147375023
2019,133540669,147383423
2019,133540689,147375047
2019,133540689,147375048
2019,133540694,147383449
2019,133540775,147378460
2019,133535839,147375143
2019,133530792,147378484
2019,133540828,147378503
2019,133540828,147378504
2019,133535914,147375220
2019,133540891,147375244
2019,133530864,147378554
2019,133530872,147383674
2019,133540955,147378590
2019,133540964,147383717
2019,134960302,148777559
2019,134960321,148777582
2019,134969829,148769248
2019,134960575,148769780
2019,134960578,148773671
2019,134966548,148773675
2019,134966552,148769791
2019,134970396,148769791
2019,134970419,148773683
2019,134970419,148777832
2019,134966567,148769811
2019,134960590,148777838
2019,134970435,148769816
2019,134966576,148773695
2019,134966589,148769831
2019,134970450,148769836
2019,134960599,148773712
2019,134970462,148769851
2019,134966602,148777849
2019,134960605,148769866
2019,134966617,148773730
2019,134960616,148769889
2019,134970510,148777870
2019,134960629,148769919
2019,134960637,148777876
2019,134960637,148777877
2019,134960643,148769940
2019,134960658,148777900
2019,134966675,148773786
2019,134966676,148773786
2019,134966673,148773786
2019,134970588,148773787
2019,134960662,148773790
2019,134960663,148777907
2019,134966682,148777914
2019,134960670,148777918
2019,134970605,148770001
2019,134960672,148770001
2019,134966691,148770004
2019,134960673,148770004
2019,134970614,148773804
2019,134966695,148773807
2019,134960675,148777922
2019,134966699,148773813
2019,134966699,148773814
2019,134960678,148770019
2019,134966716,148777937
2019,134960685,148777938
2019,134960687,148777942
2019,134966721,148773836
2019,134960691,148777946
2019,134966724,148770049
2019,134960698,148770054
2019,134960702,148777954
2019,134960705,148777961
2019,134960707,148773850
2019,134960709,148773853
2019,134960711,148773853
2019,134960712,148773857
2019,134960715,148770082
2019,134966744,148773860
2019,134960719,148773863
2019,134960720,148777968
2019,134960724,148777973
2019,134960726,148777975
2019,134960729,148777977
2019,134960731,148770134
2019,118529548,132110985
2019,118529549,132105049
2019,118525732,132105049
2019,118529554,132110988
2019,118529561,132105061
2019,118529566,132110997
2019,118529571,132111004
2019,118529571,132111005
2019,118533782,132105076
2019,118529589,132113061
2019,118529591,132105097
2019,118533793,132105102
2019,118529603,132111034
2019,118529602,132111032
2019,118525811,132113083
2019,118529620,132105125
2019,118529620,132113089
2019,118529624,132105127
2019,118529628,132111058
2019,118525824,132105133
2019,118525829,132111062
2019,118525835,132111068
2019,118533814,132113109
2019,118525852,132105153
2019,118525864,132105162
2019,118525870,132113125
2019,118525916,132105216
2019,118525923,132105225
2019,118533844,132111124
2019,118525938,132105240
2019,118525938,132111126
2019,118525936,132111128
2019,118529687,132111128
2019,118525958,132105263
2019,118525967,132113151
2019,118525980,132113163
2019,118529706,132105294
2019,118526006,132105302
2019,118529718,132105311
2019,118526031,132105329
2019,118526041,132113188
2019,118526064,132116208
2019,118529796,132116271
2019,118529797,132116272
2019,118533918,132105444
2019,118530308,132116853
2019,118534255,132116879
2019,118537012,132113579
2019,118530569,132121820
2019,118537480,132121833
2019,118530576,132117169
2019,118530583,132117181
2019,118530588,132121863
2019,118530588,132121864
2019,118534450,132113787
2019,118530595,132113787
2019,118530597,132113790
2019,118537535,132121889
2019,118537535,132121890
