"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2019,12,148057129,29418261
2019,12,148061512,29413695
2019,12,148050098,29418349
2019,18,148050117,29418354
2019,5,148061811,29413755
2019,2,148057782,29421861
2019,12,148050543,29421873
2019,12,148057904,29421892
2019,18,148062498,29413900
2019,12,148050776,29418486
2019,12,148050808,29413907
2019,12,148050962,29413959
2019,2,148051087,29413987
2019,12,148051115,29418564
2019,2,148249411,29487714
2019,18,148252828,29492260
2019,12,148258355,29492291
2019,3,148252876,29497239
2019,3,148258357,29492293
2019,12,148258395,29492300
2019,12,148258404,29487748
2019,19,148258418,29492307
2019,12,148252899,29497249
2019,12,148249572,29487761
2019,12,148258504,29492328
2019,12,148258594,29492347
2019,12,148258732,29492389
2019,12,148068065,29419067
2019,2,148065002,29414523
2019,12,148065020,29419087
2019,18,148059888,29414536
2019,9,148059903,29414540
2019,12,148068190,29419106
2019,19,148068194,29419107
2019,19,148065153,29414563
2019,12,148065176,29414566
2019,12,148060003,29422392
2019,18,148065236,29414583
2019,12,148065245,29419141
2019,19,148068382,29419153
2019,12,148060108,29422419
2019,12,148065301,29422424
2019,12,148060127,29414607
2019,12,148068413,29422427
2019,18,148068411,29419162
2019,12,148060143,29422433
2019,12,148068451,29414619
2019,12,148065377,29422443
2019,12,148065386,29422447
2019,10,148068484,29414625
2019,12,148060218,29419194
2019,19,148068526,29419201
2019,12,148068553,29419212
2019,12,148060297,29422471
2019,9,148060387,29422498
2019,12,148060448,29422511
2019,12,148068696,29419242
2019,12,148060474,29422520
2019,3,148060482,29422522
2019,12,148060496,29422526
2019,3,148065611,29414677
2019,12,148060512,29422536
2019,18,148060544,29422542
2019,18,148065677,29414696
2019,20,148065716,29414706
2019,10,148068900,29419305
2019,19,148060757,29422598
2019,12,148060772,29422602
2019,21,148060799,29414716
2019,19,148060830,29422614
2019,12,148060849,29422622
2019,20,148060859,29419323
2019,18,148060897,29422635
2019,3,148060972,29422650
2019,18,148065810,29414727
2019,12,148065813,29414729
2019,12,148060990,29422653
2019,12,148065823,29414731
2019,12,148060998,29422655
2019,4,148061029,29422662
