"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2019,21,140195850
2019,21,140202227
2019,21,140195856
2019,21,140195858
2019,22,140195859
2019,22,140195864
2019,21,140195866
2019,21,132110994
2019,21,132113047
2019,21,132105091
2019,21,132111089
2019,21,132105181
2019,21,132105194
2019,21,132111113
2019,21,132111120
2019,21,132105258
2019,21,132111129
2019,21,132105287
2019,21,132116149
2019,21,132105295
2019,21,132116148
2019,21,132116156
2019,21,132113229
2019,21,132121356
2019,21,132121851
2019,21,132121854
2019,21,132113783
2019,21,132121878
2019,21,132121901
2019,21,132117230
2019,21,132117241
2019,21,132113824
2019,21,132113830
2019,21,132121953
2019,21,132122005
2019,21,132122006
2019,21,148050278
2019,21,148061906
2019,21,148057612
2019,21,148057624
2019,21,148061917
2019,21,148057646
2019,21,148050321
2019,21,148050343
2019,21,148061944
2019,21,148050362
2019,21,148057674
2019,21,148050393
2019,21,148062020
2019,21,148062031
2019,21,148050410
2019,21,148062058
2019,21,148050439
2019,22,148050469
2019,21,148062140
2019,21,148062150
2019,21,148057783
2019,21,148057789
2019,21,148050507
2019,21,148057801
2019,21,148062184
2019,21,148050520
2019,21,148062209
2019,21,148050538
2019,21,148050556
2019,21,148062262
2019,21,148057836
2019,21,148057841
2019,21,148062286
2019,21,148057874
2019,21,148050610
2019,21,148057891
2019,21,148057898
2019,21,148062351
2019,21,148057906
2019,21,148050650
2019,21,148062375
2019,21,148050662
2019,21,148062405
2019,21,148062406
2019,21,148062422
2019,21,148057934
2019,21,148050703
2019,21,148057943
2019,21,148050719
2019,21,148050757
2019,21,148062496
2019,21,148062506
2019,21,148062507
2019,21,148050770
2019,21,148062528
2019,21,148057997
2019,21,148062537
2019,21,148050779
2019,21,148050778
2019,21,148050794
2019,21,148062553
2019,21,148062563
2019,21,148062565
2019,21,148062574
2019,21,148062578
2019,21,148062596
2019,21,148058049
2019,21,148050862
2019,21,148062641
2019,21,148062665
2019,21,148062679
2019,21,148050926
2019,21,148062704
2019,21,148062709
2019,21,148058123
2019,22,148062720
2019,22,148058127
2019,21,148062724
2019,21,148050956
2019,22,148050983
2019,22,148050982
2019,21,148050987
2019,21,148051005
2019,21,148051013
2019,21,148051021
2019,21,148051025
2019,21,148058200
2019,22,148058211
2019,21,148062835
2019,22,148047752
2019,21,148051605
2019,21,148047787
2019,21,148051629
2019,21,148051630
2019,21,148051669
2019,21,148051697
2019,21,148051701
2019,21,148051718
2019,21,148051719
2019,21,148047845
2019,21,148047849
2019,21,148051739
2019,21,148051740
2019,21,148047848
2019,21,148051768
2019,21,148051767
2019,21,148051772
2019,21,148051775
2019,21,148047870
2019,21,148051782
2019,21,148044242
2019,21,148051813
2019,21,148051826
2019,21,148051825
2019,21,148051853
2019,21,148051859
2019,21,148051858
2019,21,148044267
2019,21,148047922
2019,21,148047921
2019,21,148051886
2019,21,148044317
2019,21,148044313
2019,21,148047945
2019,21,148047955
2019,21,148051944
2019,21,148051943
2019,21,148044348
2019,21,148051960
2019,21,148051979
2019,21,148051988
2019,21,148044369
2019,21,148051998
2019,21,148044378
2019,21,148052013
2019,21,148052024
2019,21,148052027
2019,21,148052045
2019,21,148052046
2019,21,148052055
