"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,37524706,1,37823688
2019,37518846,22,37831827
2019,37523336,1,37831831
2019,37518877,1,37823726
2019,37518878,1,37823727
2019,37518897,1,37823750
2019,37524815,1,37823753
2019,37523401,1,37826300
2019,37523409,1,37826307
2019,37523411,1,37826308
2019,37523419,1,37831920
2019,37518915,1,37826325
2019,37524842,1,37831937
2019,37524843,1,37831938
2019,37512226,1,37819331
2019,37512231,1,37819336
2019,37512232,1,37819337
2019,37517141,1,37819341
2019,37512246,1,37819351
2019,37521948,1,37814843
2019,37521949,1,37814844
2019,37517164,1,37822006
2019,37512271,1,37819379
2019,37512281,1,37819388
2019,37517203,1,37822046
2019,37521969,1,37814866
2019,37512333,1,37814867
2019,37512345,1,37819451
2019,37521991,1,37814889
2019,37521994,1,37814891
2019,37521995,1,37822089
2019,37512390,1,37819502
2019,37512412,1,37819527
2019,37512424,1,37819541
2019,37522031,1,37814925
2019,37512464,1,37819579
2019,37512503,1,37819618
2019,37512506,1,37819621
2019,37512557,1,37819672
2019,37512572,1,37819688
2019,37522100,1,37824990
2019,37512586,2,37819703
2019,37512591,1,37819709
2019,37522109,1,37819713
2019,37522110,1,37824996
2019,37517392,1,37822231
2019,37512616,1,37819740
2019,37513138,1,37830258
2019,37513142,1,37830261
2019,37517705,1,37822553
2019,37513154,1,37830273
2019,37517708,1,37822556
2019,37522424,1,37825302
2019,37513192,1,37830310
2019,37513191,1,37830309
2019,37513240,1,37830355
2019,37513239,1,37830354
2019,37517727,1,37822576
2019,37513238,1,37830353
2019,37513243,8,37830358
2019,37513244,8,37830359
2019,37513248,1,37830363
2019,37513256,7,37830371
2019,37513268,1,37830385
2019,37513270,1,37830387
2019,37517754,1,37822603
2019,37513304,1,37830419
2019,37522502,1,37825384
2019,37513332,1,37830447
2019,37513355,1,37830468
2019,37513381,1,37830493
2019,37513380,1,37830492
2019,37513383,1,37830495
2019,37522525,1,37830494
2019,37522528,1,37830500
2019,37513386,1,37830498
2019,37513405,1,37830520
2019,37513409,1,37830523
2019,37513425,1,37830536
2019,37517808,1,37822655
2019,37513445,1,37830555
2019,37517816,1,37822663
2019,37513464,1,37830576
2019,37513480,1,37830592
2019,37513495,2,37830607
2019,37513498,1,37830610
2019,37517839,1,37830624
2019,37513516,1,37830629
2019,37513515,1,37830628
2019,37513526,1,37830638
2019,37517844,1,37822690
2019,37513541,1,37830653
2019,37513543,1,37830656
2019,37513553,1,37830664
2019,37513558,1,37830669
2019,37517865,1,37822712
2019,37513560,1,37830671
2019,37513561,1,37830672
2019,37513566,1,37830677
2019,37517875,1,37822723
2019,37517874,1,37822722
2019,37517878,1,37822726
2019,37513580,1,37830690
2019,37517883,1,37822731
2019,32095317,1,32122910
2019,32095324,1,32122919
2019,32098907,1,32125031
2019,32095400,1,32122990
2019,32095417,1,32123004
2019,32095442,1,32123029
2019,32095721,1,32123339
2019,32095724,1,32123342
2019,32083205,1,32109505
2019,37522726,1,37825608
2019,37513880,1,37825610
2019,37522730,1,37825613
2019,37513907,1,37831031
2019,37518222,1,37830895
2019,37518283,1,37823120
2019,37513823,1,37830946
2019,37518244,1,37823085
2019,37513851,1,37830976
2019,37513866,1,37830991
2019,37522718,1,37825602
2019,37518311,1,37823152
2019,37513918,1,37831041
2019,37513928,7,37823158
2019,37513948,1,37831070
2019,37518332,1,37823170
2019,37518340,1,37823181
2019,37513978,1,37825679
2019,37522799,1,37825681
2019,37513984,3,37831106
2019,37522803,3,37825683
2019,37522809,1,37823215
2019,37514001,1,37831122
2019,37514034,2,37831146
2019,37514042,1,37823248
2019,37522836,1,37823249
2019,37518416,1,37823259
2019,37514066,1,37831183
2019,37514065,1,37831182
2019,37514088,1,37823278
2019,37518445,1,37823292
2019,37514165,1,37831283
2019,37514171,1,37823327
2019,37514173,1,37831289
2019,37518507,1,37825831
2019,37514208,1,37831325
2019,37514210,1,37831328
2019,37514218,3,37831334
2019,37514216,1,37825837
2019,37514214,1,37823362
2019,37522963,1,37825843
2019,37518523,1,37823374
2019,37518525,1,37825852
2019,37514259,1,37831370
2019,37518542,1,37823386
2019,37522997,1,37823400
2019,37518579,1,37823426
2019,37518580,1,37823427
2019,37523046,1,37823443
2019,37514357,1,37823452
2019,37518608,1,37831481
2019,37514362,1,37823454
2019,37514363,1,37825946
2019,37518611,3,37825948
2019,37518615,1,37823462
2019,37514374,1,37825956
2019,37518627,1,37823478
2019,32083191,1,32109495
2019,32099145,1,32125261
2019,32095714,1,32123324
2019,32099149,1,32125263
2019,32083193,1,32123332
2019,32083200,1,32109503
2019,32095729,1,32123349
2019,32099163,1,32125277
2019,37512637,1,37819754
2019,37517407,1,37822250
2019,37512660,1,37822264
2019,37517423,1,37822263
2019,37512665,1,37819789
2019,37512678,1,37819798
2019,37512683,1,37819803
2019,37517433,1,37822271
2019,37517452,1,37822290
2019,37522171,1,37822297
2019,37517459,1,37825062
2019,37517484,1,37822327
2019,37512745,1,37819864
2019,37512747,1,37822329
2019,37512760,1,37819883
2019,37522206,1,37825089
