"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,132977568,4
2019,132977575,4
2019,128723649,5
2019,128723660,4
2019,128723675,4
2019,128728273,4
2019,128723762,4
2019,128714818,5
2019,128723837,5
2019,128723896,4
2019,128728380,4
2019,128723949,4
2019,128723980,4
2019,128723629,5
2019,128723596,5
2019,128723627,6
2019,128714709,4
2019,128723797,3
2019,128723820,4
2019,128723823,4
2019,128723834,4
2019,128723841,4
2019,128723877,4
2019,128723886,4
2019,128723903,4
2019,128714888,5
2019,128723926,4
2019,128723657,6
2019,128723594,4
2019,128723604,4
2019,128723701,4
2019,128723735,4
2019,128723746,5
2019,128723759,5
2019,128728298,4
2019,128723717,4
2019,128714777,4
2019,128723729,4
2019,128723744,5
2019,128728217,5
2019,128723761,4
2019,128723793,4
2019,128728308,5
2019,128723817,4
2019,128723824,4
2019,128723835,4
2019,128723847,4
2019,128723881,4
2019,128728369,5
2019,128714719,4
2019,128714742,4
2019,128723706,4
2019,128723624,4
2019,128723719,4
2019,128714793,5
2019,128728300,4
2019,128723794,4
2019,128728218,4
2019,128714749,5
2019,128714667,4
2019,128723614,1
2019,128723640,4
2019,128723721,5
2019,128723760,5
2019,128723813,4
2019,128723821,4
2019,128728323,5
2019,128723845,4
2019,128723855,4
2019,128723871,4
2019,128723878,4
2019,128723899,4
2019,128728374,4
2019,128723921,4
2019,128723943,5
2019,128728395,1
2019,128714899,4
2019,128723962,4
2019,128723696,4
2019,128723573,5
2019,128723705,4
2019,128723724,4
2019,128723572,8
2019,128723585,5
2019,128723580,4
2019,128723574,5
2019,133533653,5
2019,133533682,4
2019,133533706,4
2019,133522805,5
2019,133533767,5
2019,133529192,4
2019,133533800,5
2019,133533819,5
2019,133533821,5
2019,133533820,5
2019,133533841,5
2019,133533855,5
2019,133533861,5
2019,133533652,5
2019,133533860,5
2019,133538175,4
2019,133538172,5
2019,133529407,4
2019,133538191,5
2019,133538241,5
2019,133529436,4
2019,133534021,4
2019,133538364,4
2019,133534076,5
2019,133534102,5
2019,133538491,4
2019,133538538,4
2019,133529553,5
2019,133534147,4
2019,133538607,4
2019,133538609,4
2019,133534177,3
2019,133529582,5
2019,133538693,5
2019,133538738,5
2019,133534287,5
2019,133534292,5
2019,133534303,5
2019,133529685,5
2019,133529684,5
2019,133534328,4
2019,133534363,5
2019,133529710,5
2019,133529713,5
2019,133534399,5
2019,133539021,5
2019,133539050,4
2019,133539070,6
2019,133534427,6
2019,133529758,6
2019,133534425,6
2019,133539147,4
2019,133539171,5
2019,133539175,5
2019,133529844,4
2019,133534576,4
2019,133539290,4
2019,133539291,5
2019,133539307,5
2019,133534588,5
2019,133539315,5
2019,133539356,4
2019,133534634,4
2019,133539386,5
2019,133529917,4
2019,133539486,5
2019,133534732,5
2019,133539482,5
2019,133539553,5
2019,133530012,5
2019,133539566,2
2019,133530020,4
2019,133534813,4
2019,133534897,5
2019,133534896,5
2019,133534898,4
2019,133534903,5
2019,133534958,5
2019,133539759,5
2019,133539822,5
2019,133535034,5
2019,133535033,5
